cell_id,lat,lon,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean,eq_energy_log,eq_days_since_last_major,cyclone_count,wind_mean,wind_max,pressure_min_mean,dist_nearest_volcano_km,volcano_count
83f2c8fffffffff,-77.23757756039602,-91.84721695929915,0.0,,,,,,0.0,,,,5927.159447280849,0
83bf83fffffffff,-31.293528893190647,162.58133196087672,0.0,,,,,,6.0,49.166666666666664,55.0,984.6666666666666,1481.4891433856642,0
8340e4fffffffff,29.077038309731357,105.46871800405563,19.0,4.742105263157894,5.4,25.422105263157892,13.351394613256815,,4.0,,,1000.0,1720.7957624180294,0
836911fffffffff,11.436557110793082,111.47457344569335,0.0,,,,,,79.0,46.22549019607843,72.5,992.7019230769231,1071.7328094782852,0
838d89fffffffff,-7.072571095329463,108.69118803056311,28.0,4.886785714285714,5.89,129.95371428571428,14.05998834616113,,0.0,,,,131.81920826777446,0
83e72dfffffffff,-73.15298003095799,32.763475338308695,0.0,,,,,,0.0,,,,5943.233384066722,0
834593fffffffff,21.197066042408025,-76.88108635099312,0.0,,,,,,8.0,58.75,100.0,988.8125,8552.973380452802,0
83b61efffffffff,-26.77168933920118,-91.51425889963573,0.0,,,,,,0.0,,,,8343.723952928356,0
832d5cfffffffff,45.73086498514654,42.96340322000503,0.0,,,,,,0.0,,,,1794.8445540895507,0
83932afffffffff,-3.4017847328150417,-101.98035087077486,2.0,4.5,4.5,10.0,11.851029995663982,,0.0,,,,8155.51830574906,0
83e283fffffffff,-59.92427446697544,-118.10473010762652,0.0,,,,,,0.0,,,,5078.621553431323,0
837cadfffffffff,1.8908739461546673,-18.832180545630123,0.0,,,,,,0.0,,,,3288.299046372978,0
83ed35fffffffff,-64.60379117157568,169.36388064424636,0.0,,,,,,0.0,,,,2977.9725889683623,0
83df5dfffffffff,-53.34291524079249,-63.82725000231227,1.0,4.5,4.5,10.0,11.55,,0.0,,,,8310.193859172767,0
83134efffffffff,61.84137128449201,-104.569592106256,0.0,,,,,,0.0,,,,7351.88812004537,0
834229fffffffff,29.488115557737704,64.96084850472364,4.0,5.075,5.5,35.15,13.268380050882914,,0.0,,,,3118.0524116260945,0
83a35dfffffffff,-14.914548073359498,54.37402368279867,0.0,,,,,,72.0,44.802083333333336,110.0,985.8888888888888,717.7708911904261,0
83ed86fffffffff,-61.16931239917143,153.0696225108494,44.0,5.094318181818182,6.1,10.468181818181819,14.734284469721837,2557.0,0.0,,,,3028.39923616804,0
837976fffffffff,7.132290690914086,-131.75626742188626,0.0,,,,,,0.0,,,,5452.828865196287,0
83bae8fffffffff,-26.374229671393426,176.63830002685657,0.0,,,,,,20.0,53.958333333333336,85.0,977.0277777777778,1240.3993662357207,0
83066dfffffffff,59.030162169448516,-28.464309118577884,0.0,,,,,,4.0,53.75,60.0,977.625,3563.4687106013835,0
83f111fffffffff,-81.67216658785378,112.42759145873114,0.0,,,,,,0.0,,,,5405.980584749012,0
